,BB,BB,BB,BB,BB,BB,AMC,AMC,AMC,AMC,AMC,AMC,GME,GME,GME,GME,GME,GME
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,
2020-09-01,5.25,5.510000228881836,5.210000038146973,5.509900093078613,5.509900093078613,1557090,5.789999961853027,6.179999828338623,5.789999961853027,6.0879998207092285,6.0879998207092285,1935732,7.300000190734863,7.489999771118164,6.769999980926514,7.164999961853027,7.164999961853027,6195127
2020-09-01,5.5,5.510000228881836,5.400000095367432,5.425000190734863,5.425000190734863,920134,6.079999923706055,6.150000095367432,5.980000019073486,6.025000095367432,6.025000095367432,948528,7.164999961853027,7.619999885559082,7.139999866485596,7.244999885559082,7.244999885559082,4164376
2020-09-01,5.42110013961792,5.489999771118164,5.420000076293945,5.440000057220459,5.440000057220459,635989,6.019999980926514,6.090000152587891,5.927999973297119,5.985000133514404,5.985000133514404,545432,7.239999771118164,7.440000057220459,7.019999980926514,7.429999828338623,7.429999828338623,1968057
2020-09-01,5.440000057220459,5.46999979019165,5.420000076293945,5.465000152587891,5.465000152587891,860373,5.9878997802734375,6.03000020980835,5.96999979019165,6.014999866485596,6.014999866485596,296193,7.427800178527832,7.699999809265137,7.369999885559082,7.489999771118164,7.489999771118164,3054700
2020-09-01,5.464099884033203,5.480000019073486,5.438000202178955,5.474999904632568,5.474999904632568,534820,6.014999866485596,6.130000114440918,5.96999979019165,6.112100124359131,6.112100124359131,788023,7.489999771118164,7.559999942779541,7.320000171661377,7.465000152587891,7.465000152587891,2021132
2020-09-01,5.474999904632568,5.539999961853027,5.46999979019165,5.534999847412109,5.534999847412109,967497,6.113699913024902,6.119999885559082,6.039999961853027,6.085000038146973,6.085000038146973,561442,7.460000038146973,7.610000133514404,7.433000087738037,7.589799880981445,7.589799880981445,1696199
2020-09-01,5.539999961853027,5.590000152587891,5.53000020980835,5.579999923706055,5.579999923706055,1073649,6.085000038146973,6.119999885559082,6.050000190734863,6.074999809265137,6.074999809265137,657804,7.590000152587891,7.820000171661377,7.460000038146973,7.659999847412109,7.659999847412109,3547253
2020-09-02,5.650000095367432,5.655300140380859,5.420000076293945,5.505000114440918,5.505000114440918,1816945,7.010000228881836,7.710000038146973,6.760000228881836,7.039999961853027,7.039999961853027,24101896,7.800000190734863,8.050000190734863,7.110000133514404,7.352700233459473,7.352700233459473,5428616
2020-09-02,5.5,5.53000020980835,5.429999828338623,5.438000202178955,5.438000202178955,673956,7.03000020980835,7.090000152587891,6.619999885559082,6.715000152587891,6.715000152587891,4938464,7.355000019073486,7.840000152587891,7.349999904632568,7.554999828338623,7.554999828338623,2401894
2020-09-02,5.440000057220459,5.456822872161865,5.409999847412109,5.445000171661377,5.445000171661377,490107,6.71999979019165,6.800000190734863,6.460000038146973,6.708000183105469,6.708000183105469,3543332,7.559999942779541,7.5879998207092285,7.340000152587891,7.550000190734863,7.550000190734863,1050944
2020-09-02,5.449999809265137,5.480000019073486,5.429999828338623,5.480000019073486,5.480000019073486,395616,6.704999923706055,6.989999771118164,6.650000095367432,6.949999809265137,6.949999809265137,2771013,7.559999942779541,7.789999961853027,7.550000190734863,7.715000152587891,7.715000152587891,1094735
2020-09-02,5.474999904632568,5.5,5.460000038146973,5.460000038146973,5.460000038146973,425226,6.953999996185303,7.099999904632568,6.829999923706055,6.989999771118164,6.989999771118164,2807324,7.71999979019165,7.75,7.534999847412109,7.585000038146973,7.585000038146973,595137
2020-09-02,5.460000038146973,5.489999771118164,5.460000038146973,5.465000152587891,5.465000152587891,357656,6.980000019073486,7.125,6.880199909210205,7.019999980926514,7.019999980926514,2524771,7.585000038146973,7.684999942779541,7.539999961853027,7.670000076293945,7.670000076293945,863307
2020-09-02,5.465000152587891,5.550000190734863,5.460000038146973,5.53000020980835,5.53000020980835,825221,7.019999980926514,7.114999771118164,6.980000019073486,7.02209997177124,7.02209997177124,1781916,7.670000076293945,7.710000038146973,7.630000114440918,7.710000038146973,7.710000038146973,1178946
2020-09-03,5.429999828338623,5.440000057220459,5.264999866485596,5.276400089263916,5.276400089263916,1157783,6.940000057220459,7.139999866485596,6.769999980926514,6.894199848175049,6.894199848175049,3284145,7.880000114440918,8.449999809265137,7.610000133514404,7.769999980926514,7.769999980926514,5231964
2020-09-03,5.28000020980835,5.289999961853027,5.130000114440918,5.179999828338623,5.179999828338623,1509366,6.900000095367432,6.940000057220459,6.480100154876709,6.579999923706055,6.579999923706055,2264734,7.775000095367432,7.889999866485596,7.320000171661377,7.525000095367432,7.525000095367432,2698604
2020-09-03,5.179999828338623,5.235000133514404,5.164999961853027,5.210000038146973,5.210000038146973,750041,6.5879998207092285,6.7677001953125,6.572000026702881,6.710000038146973,6.710000038146973,956142,7.510000228881836,7.599999904632568,7.309999942779541,7.465000152587891,7.465000152587891,1246431
2020-09-03,5.210000038146973,5.25,5.189899921417236,5.238999843597412,5.238999843597412,502077,6.699999809265137,6.849999904632568,6.6468000411987305,6.809999942779541,6.809999942779541,1461582,7.465000152587891,7.489999771118164,7.269999980926514,7.360000133514404,7.360000133514404,828428
2020-09-03,5.230000019073486,5.23769998550415,5.182499885559082,5.210000038146973,5.210000038146973,272229,6.789999961853027,6.789999961853027,6.619900226593018,6.635000228881836,6.635000228881836,719613,7.360000133514404,7.519999980926514,7.239999771118164,7.409999847412109,7.409999847412109,1246886
